 x	data2	data1	
7.23	0.0379027	0.0493489	
7.24	0.0379406	0.0486635	
7.25	0.0379786	0.0479869	
7.26	0.0380166	0.0473191	
7.27	0.0380546	0.0466599	
7.28	0.0380927	0.0460093	
7.29	0.0381308	0.0453671	
7.3	0.038169	0.0447332	
7.31	0.0382072	0.0441076	
7.32	0.0382454	0.0434902	
7.33	0.0382837	0.0428809	
7.34	0.038322	0.0422795	
7.35	0.0383603	0.0416861	
7.36	0.0383987	0.0411005	
7.37	0.0384371	0.0405226	
7.38	0.0384756	0.0399523	
7.39	0.038514	0.0393896	
7.4	0.0385526	0.0388344	
7.41	0.0385912	0.0382865	
7.42	0.0386298	0.037746	
7.43	0.0386684	0.0372126	
7.44	0.0387071	0.0366864	
7.45	0.0387458	0.0361672	
7.46	0.0387846	0.035655	
7.47	0.0388234	0.0351497	
7.48	0.0388622	0.0346511	
7.49	0.0389011	0.0341593	
7.5	0.03894	0.0336741	
7.51	0.038979	0.0331955	
7.52	0.039018	0.0327233	
7.53	0.039057	0.0322576	
7.54	0.0390961	0.0317981	
7.55	0.0391352	0.0313449	
7.56	0.0391744	0.0308979	
7.57	0.0392136	0.030457	
7.58	0.0392528	0.0300221	
7.59	0.0392921	0.0295931	
7.6	0.0393314	0.02917	
7.61	0.0393707	0.0287527	
7.62	0.0394101	0.0283411	
7.63	0.0394496	0.0279352	
7.64	0.039489	0.0275349	
7.65	0.0395285	0.02714	
7.66	0.0395681	0.0267507	
7.67	0.0396077	0.0263666	
7.68	0.0396473	0.0259879	
7.69	0.039687	0.0256145	
7.7	0.0397267	0.0252462	
7.71	0.0397664	0.024883	
7.72	0.0398062	0.0245249	
7.73	0.039846	0.0241717	
7.74	0.0398859	0.0238235	
7.75	0.0399258	0.0234801	
7.76	0.0399658	0.0231415	
7.77	0.0400057	0.0228076	
7.78	0.0400458	0.0224783	
7.79	0.0400858	0.0221537	
7.8	0.0401259	0.0218336	
7.81	0.0401661	0.021518	
7.82	0.0402063	0.0212069	
7.83	0.0402465	0.0209001	
7.84	0.0402868	0.0205976	
7.85	0.0403271	0.0202993	
7.86	0.0403674	0.0200053	
7.87	0.0404078	0.0197154	
7.88	0.0404482	0.0194296	
7.89	0.0404887	0.0191478	
7.9	0.0405292	0.01887	
7.91	0.0405698	0.0185961	
7.92	0.0406104	0.0183261	
7.93	0.040651	0.0180599	
7.94	0.0406917	0.0177975	
7.95	0.0407324	0.0175388	
7.96	0.0407731	0.0172837	
7.97	0.0408139	0.0170323	
7.98	0.0408547	0.0167845	
7.99	0.0408956	0.0165402	
8	0.0409365	0.0162993	
8.01	0.0409775	0.0160619	
8.02	0.0410185	0.0158279	
8.03	0.0410595	0.0155972	
8.04	0.0411006	0.0153698	
8.05	0.0411417	0.0151456	
8.06	0.0411829	0.0149247	
8.07	0.0412241	0.0147069	
8.08	0.0412653	0.0144922	
8.09	0.0413066	0.0142806	
8.1	0.041348	0.014072	
8.11	0.0413893	0.0138664	
8.12	0.0414307	0.0136638	
8.13	0.0414722	0.013464	
8.14	0.0415137	0.0132672	
8.15	0.0415552	0.0130731	
8.16	0.0415968	0.0128818	
8.17	0.0416384	0.0126933	
8.18	0.0416801	0.0125075	
8.19	0.0417218	0.0123244	
8.2	0.0417635	0.0121439	
8.21	0.0418053	0.011966	
8.22	0.0418471	0.0117907	
8.23	0.041889	0.0116179	
8.24	0.0419309	0.0114476	
8.25	0.0419729	0.0112797	
8.26	0.0420148	0.0111143	
8.27	0.0420569	0.0109513	
8.28	0.042099	0.0107906	
8.29	0.0421411	0.0106322	
8.3	0.0421832	0.0104762	
8.31	0.0422254	0.0103224	
8.32	0.0422677	0.0101708	
8.33	0.04231	0.0100214	
8.34	0.0423523	0.00987418	
8.35	0.0423947	0.00972909	
8.36	0.0424371	0.0095861	
8.37	0.0424796	0.0094452	
8.38	0.0425221	0.00930633	
8.39	0.0425646	0.00916948	
8.4	0.0426072	0.00903462	
8.41	0.0426498	0.00890172	
8.42	0.0426925	0.00877075	
8.43	0.0427352	0.00864168	
8.44	0.042778	0.00851449	
8.45	0.0428208	0.00838916	
8.46	0.0428636	0.00826564	
8.47	0.0429065	0.00814393	
8.48	0.0429494	0.00802398	
